exp_id,row_index,source,smoothing_iters,decimate_target_reduction,seed,jnd_threshold,n_tri_nominal,status,out_points,out_cells,point_ratio,mean_abs_error,p95_abs_error,max_abs_error,frac_vertices_over_jnd,mean_nn_distance,p95_nn_distance,env_cpu,env_cpu_count_logical,env_ram_gb,env_os,env_python,env_numpy,env_scipy,env_trimesh,env_pyvista,env_opencv,env_torch,env_git_commit,env_torch_threads,env_cuda_available,env_gpu,env_vtk,env_run_started_utc
a4_color_transfer,48,pointmap_sheet,0,,0,8.0,40000,ok,20211,40000,1.0,0.4971,0.9488,1.0,0.0,0.0,0.0,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,49,pointmap_sheet,0,,1,8.0,40000,ok,20200,39999,1.0,0.4955,0.945,0.9998,0.0,0.0,0.0,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,50,pointmap_sheet,0,,2,8.0,40000,ok,20199,39999,1.0,0.4994,0.948,1.0,0.0,0.0,0.0,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,51,pointmap_sheet,0,0.3,0,8.0,40000,ok,14199,28000,0.7025,0.4947,0.9449,0.9999,0.0,0.0,0.0,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,52,pointmap_sheet,0,0.3,1,8.0,40000,ok,14179,27998,0.7019,0.4932,0.9449,0.9998,0.0,0.0,0.0,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,53,pointmap_sheet,0,0.3,2,8.0,40000,ok,14182,27999,0.7021,0.499,0.946,0.9999,0.0,0.0,0.0,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,54,pointmap_sheet,0,0.5,0,8.0,40000,ok,10175,19999,0.5034,0.4921,0.9449,0.9999,0.0,0.0,0.0,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,55,pointmap_sheet,0,0.5,1,8.0,40000,ok,10159,19998,0.5029,0.492,0.9467,0.9998,0.0,0.0,0.0,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,56,pointmap_sheet,0,0.5,2,8.0,40000,ok,10169,19999,0.5034,0.4978,0.946,0.9998,0.0,0.0,0.0,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,57,pointmap_sheet,0,0.7,0,8.0,40000,ok,6129,11999,0.3033,0.4882,0.9449,0.9999,0.0,0.0,0.0,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,58,pointmap_sheet,0,0.7,1,8.0,40000,ok,6134,11999,0.3037,0.4924,0.9464,0.9998,0.0,0.0,0.0,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,59,pointmap_sheet,0,0.7,2,8.0,40000,ok,6136,11999,0.3038,0.4937,0.9449,0.9991,0.0,0.0,0.0,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,60,pointmap_sheet,5,,0,8.0,40000,ok,20211,40000,1.0,0.499,0.9536,1.9191,0.0,0.000128,0.000403,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,61,pointmap_sheet,5,,1,8.0,40000,ok,20200,39999,1.0,0.498,0.9513,2.2541,0.0,0.000127,0.000417,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,62,pointmap_sheet,5,,2,8.0,40000,ok,20199,39999,1.0,0.5021,0.9532,2.1227,0.0,0.000132,0.000418,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
a4_color_transfer,63,pointmap_sheet,5,0.3,0,8.0,40000,ok,14199,28000,0.7025,0.4975,0.9528,1.8796,0.0,0.000131,0.000404,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T19:58:10+00:00
