exp_id,row_index,part,base,mode,noise_sigma,n_holes,n_fragments_injected,seed,tau,distance_unit,sample_points,chamfer_noise_floor,smoothing_iters,components_in,in_cells,boundary_edges_in,non_manifold_edges_in,before_chamfer_l1,before_hausdorff_95,before_precision,before_recall,before_f_score,before_normal_consistency,holefill_guard_fires,filtered_components,status,out_cells,components_out,boundary_edges_out,non_manifold_edges_out,is_watertight_out,after_chamfer_l1,after_hausdorff_95,after_precision,after_recall,after_f_score,after_normal_consistency,chamfer_delta,chamfer_improved,normal_consistency_delta,fragments_removed,env_cpu,env_cpu_count_logical,env_ram_gb,env_os,env_python,env_numpy,env_scipy,env_trimesh,env_pyvista,env_opencv,env_torch,env_git_commit,env_torch_threads,env_cuda_available,env_gpu,env_vtk,env_run_started_utc,smoother,volume_ratio_vs_clean
a3_refine_quality,840,refinement,pointmap_sheet,object,0.01,5,20,0,0.01,fraction_of_unit_bbox_diagonal,100000,0.0016,15,21,21500,458,0,0.007755,0.016899,0.7974,0.9984,0.8867,0.52652,False,21,ok,21750,21,206,3,False,0.017151,0.269643,0.8749,0.9989,0.9328,0.6861,0.009396,False,0.15958,0,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T20:00:09+00:00,,
a3_refine_quality,841,refinement,pointmap_sheet,room,0.01,5,20,0,0.01,fraction_of_unit_bbox_diagonal,100000,0.0016,15,21,21500,458,0,0.007755,0.016899,0.7974,0.9984,0.8867,0.52652,True,1,ok,19900,1,458,0,False,0.004654,0.015015,0.8174,0.9986,0.8989,0.52979,-0.003101,True,0.00327,20,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T20:00:09+00:00,,
a3_refine_quality,842,refinement,pointmap_sheet,object,0.01,5,20,1,0.01,fraction_of_unit_bbox_diagonal,100000,0.0016,15,21,21500,464,0,0.007351,0.016843,0.8043,0.9988,0.8911,0.53145,False,21,ok,21790,21,173,1,False,0.015242,0.2831,0.8759,0.9978,0.9329,0.69745,0.007891,False,0.166,0,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T20:00:09+00:00,,
a3_refine_quality,843,refinement,pointmap_sheet,room,0.01,5,20,1,0.01,fraction_of_unit_bbox_diagonal,100000,0.0016,15,21,21500,464,0,0.007351,0.016843,0.8043,0.9988,0.8911,0.53145,True,1,ok,19900,1,464,0,False,0.004601,0.014834,0.8244,0.9985,0.9031,0.53147,-0.00275,True,2e-05,20,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T20:00:09+00:00,,
a3_refine_quality,844,refinement,pointmap_sheet,object,0.01,5,20,2,0.01,fraction_of_unit_bbox_diagonal,100000,0.0016,15,21,21500,458,0,0.007962,0.016768,0.7992,0.9965,0.887,0.53427,False,21,ok,21751,21,207,0,False,0.016999,0.264045,0.8759,0.9969,0.9325,0.70024,0.009037,False,0.16597,0,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T20:00:09+00:00,,
a3_refine_quality,845,refinement,pointmap_sheet,room,0.01,5,20,2,0.01,fraction_of_unit_bbox_diagonal,100000,0.0016,15,21,21500,458,0,0.007962,0.016768,0.7992,0.9965,0.887,0.53427,True,1,ok,19900,1,458,0,False,0.004631,0.014836,0.8182,0.996,0.8984,0.53887,-0.003331,True,0.0046,20,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T20:00:09+00:00,,
a3_refine_quality,846,refinement,pointmap_sheet,object,0.01,20,0,0,0.01,fraction_of_unit_bbox_diagonal,100000,0.0016,15,1,19602,662,0,0.004672,0.014925,0.8162,0.9985,0.8982,0.53099,True,1,ok,19602,1,662,0,False,0.003604,0.009624,0.9568,0.9976,0.9768,0.6917,-0.001068,True,0.16071,0,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T20:00:09+00:00,,
a3_refine_quality,847,refinement,pointmap_sheet,room,0.01,20,0,0,0.01,fraction_of_unit_bbox_diagonal,100000,0.0016,15,1,19602,662,0,0.004672,0.014925,0.8162,0.9985,0.8982,0.53099,True,1,ok,19602,1,662,0,False,0.004663,0.014909,0.8152,0.9986,0.8976,0.53244,-9e-06,True,0.00145,0,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T20:00:09+00:00,,
a3_refine_quality,848,refinement,pointmap_sheet,object,0.01,20,0,1,0.01,fraction_of_unit_bbox_diagonal,100000,0.0016,15,1,19606,664,0,0.00461,0.01489,0.8219,0.9987,0.9017,0.53208,True,1,ok,19606,1,664,0,False,0.003556,0.009551,0.9585,0.9974,0.9776,0.70582,-0.001054,True,0.17374,0,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T20:00:09+00:00,,
a3_refine_quality,849,refinement,pointmap_sheet,room,0.01,20,0,1,0.01,fraction_of_unit_bbox_diagonal,100000,0.0016,15,1,19606,664,0,0.00461,0.01489,0.8219,0.9987,0.9017,0.53208,True,1,ok,19606,1,664,0,False,0.004615,0.014908,0.8215,0.9987,0.9015,0.53137,5e-06,False,-0.00071,0,12th Gen Intel(R) Core(TM) i7-1255U,12,15.68,Windows-10-10.0.26200-SP0,3.11.15,2.4.6,1.17.1,4.12.2,0.48.4,5.0.0,2.13.0+cpu,fd20710,10,False,,"(9, 6, 2)",2026-08-27T20:00:09+00:00,,
